    DATE,State,UnempRate
2011-01-01,Michigan,10.5
2011-01-01,Minnesota,6.9
2011-01-01,Mississippi,9.9
2011-01-01,Missouri,9.3
2011-01-01,Montana,7.0
2011-01-01,Nebraska,4.6
2011-01-01,Nevada,13.7
2011-01-01,New Hampshire,5.6
2011-01-01,New Jersey,9.5
2011-01-01,New Mexico,7.4
2011-01-01,New York,8.4
2011-01-01,North Carolina,10.4
2011-01-01,North Dakota,3.5
2011-01-01,Ohio,9.3
2011-01-01,Oklahoma,5.9
2011-01-01,Oregon,10.1
2011-01-01,Pennsylvania,7.8
2011-01-01,Rhode Island,11.2
2011-01-01,South Carolina,10.8
2011-01-01,South Dakota,5.6
2011-01-01,Tennessee,9.6
2011-01-01,Texas,8.2
2011-01-01,Utah,7.8
2011-01-01,Vermont,6.0
2011-01-01,Virginia,6.7
2011-01-01,Washington,8.9
2011-01-01,West Virginia,9.3
2011-01-01,Wisconsin,7.8
2011-01-01,Wyoming,6.6
2011-01-01,District of Columbia,10.0
2011-02-01,Alabama,10.0
2011-02-01,Alaska,7.9
2011-02-01,Arizona,9.8
2011-02-01,Arkansas,8.0
2011-02-01,California,12.2
2011-02-01,Colorado,8.9
2011-02-01,Connecticut,9.4
2011-02-01,Delaware,7.9
2011-02-01,Florida,10.5
2011-02-01,Georgia,10.4
2011-02-01,Hawaii,6.7
2011-02-01,Idaho,8.4
2011-02-01,Illinois,9.5
2011-02-01,Indiana,8.9
2011-02-01,Iowa,5.8
2011-02-01,Kansas,6.7
2011-02-01,Kentucky,9.6
2011-02-01,Louisiana,7.7
2011-02-01,Maine,8.0
2011-02-01,Maryland,7.4
2011-02-01,Massachusetts,7.5
2011-02-01,Michigan,10.4
2011-02-01,Minnesota,6.8
2011-02-01,Mississippi,9.8
2011-02-01,Missouri,9.2
2011-02-01,Montana,6.9
2011-02-01,Nebraska,4.6
2011-02-01,Nevada,13.6
2011-02-01,New Hampshire,5.5
2011-02-01,New Jersey,9.4
2011-02-01,New Mexico,7.2
2011-02-01,New York,8.3
2011-02-01,North Carolina,10.3
2011-02-01,North Dakota,3.4
2011-02-01,Ohio,9.1
2011-02-01,Oklahoma,5.8
2011-02-01,Oregon,9.8
2011-02-01,Pennsylvania,7.7
2011-02-01,Rhode Island,11.1
2011-02-01,South Carolina,10.7
2011-02-01,South Dakota,5.6
2011-02-01,Tennessee,9.5
2011-02-01,Texas,8.2
2011-02-01,Utah,7.7
2011-02-01,Vermont,5.9
2011-02-01,Virginia,6.6
2011-02-01,Washington,8.8
2011-02-01,West Virginia,9.3
2011-02-01,Wisconsin,7.7
2011-02-01,Wyoming,6.5
2011-02-01,District of Columbia,10.0
2011-03-01,Alabama,9.9
2011-03-01,Alaska,7.8
